VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-01 00:38:33,2019-01-01 00:54:00,1,3.08,1,N,161,239,1,12.5,0.5,0.5,2.76,0,0.3,16.56,
2,2019-01-01 00:56:25,2019-01-01 01:07:02,1,1.73,1,N,239,236,2,9,0.5,0.5,0,0,0.3,10.3,
2,2019-01-01 01:11:04,2019-01-01 01:29:03,1,3.66,1,N,236,152,1,15,0.5,0.5,4.89,0,0.3,21.19,
1,2019-01-01 00:09:23,2019-01-01 00:28:09,2,3.90,1,N,164,146,1,16,0.5,0.5,3.46,0,0.3,20.76,
1,2019-01-01 00:36:12,2019-01-01 00:44:19,2,1.00,1,N,237,141,1,7,0.5,0.5,20,0,0.3,28.3,
1,2019-01-01 00:48:08,2019-01-01 00:54:20,1,1.20,1,N,237,262,1,6.5,0.5,0.5,1.5,0,0.3,9.3,
1,2019-01-01 00:58:42,2019-01-01 01:15:54,1,4.40,1,N,263,107,1,16.5,0.5,0.5,1.25,0,0.3,19.05,
2,2019-01-01 00:10:06,2019-01-01 00:28:10,2,2.53,1,N,68,162,2,12.5,0.5,0.5,0,0,0.3,13.8,
2,2019-01-01 00:36:51,2019-01-01 00:41:27,1,.87,1,N,161,237,2,5.5,0.5,0.5,0,0,0.3,6.8,
2,2019-01-01 00:42:47,2019-01-01 00:50:47,1,1.57,1,N,237,239,2,8,0.5,0.5,0,0,0.3,9.3,
2,2019-01-01 00:53:03,2019-01-01 00:57:32,2,.63,1,N,239,142,1,5,0.5,0.5,1.58,0,0.3,7.88,
2,2019-01-01 00:58:21,2019-01-01 01:11:26,1,3.20,1,N,142,145,1,12.5,0.5,0.5,1.38,0,0.3,15.18,
1,2019-01-01 00:40:18,2019-01-01 00:52:55,1,1.10,1,N,163,48,2,9,0.5,0.5,0,0,0.3,10.3,
2,2019-01-01 00:18:49,2019-01-01 00:48:13,3,6.01,1,N,48,88,2,23.5,0.5,0.5,0,0,0.3,24.8,
2,2019-01-01 00:52:23,2019-01-01 00:59:58,1,1.58,1,N,87,211,1,7,0.5,0.5,1.41,0,0.3,9.71,
2,2019-01-01 00:30:21,2019-01-01 00:38:31,1,.87,1,N,161,163,2,7,0.5,0.5,0,0,0.3,8.3,
2,2019-01-01 00:40:21,2019-01-01 00:48:34,1,.81,1,N,163,162,2,6.5,0.5,0.5,0,0,0.3,7.8,
2,2019-01-01 00:50:46,2019-01-01 01:13:10,1,2.96,1,N,161,79,2,15.5,0.5,0.5,0,0,0.3,16.8,
2,2019-01-01 00:17:08,2019-01-01 00:19:49,2,.53,1,N,144,144,2,4,0.5,0.5,0,0,0.3,5.3,
2,2019-01-01 00:26:11,2019-01-01 00:36:59,1,1.32,1,N,114,234,1,8.5,0.5,0.5,1.96,0,0.3,11.76,
2,2019-01-01 00:53:45,2019-01-01 01:06:01,2,2.38,1,N,107,141,1,10,0.5,0.5,2.26,0,0.3,13.56,
2,2019-01-01 00:16:59,2019-01-01 00:47:14,6,2.22,1,N,48,162,2,18,0.5,0.5,0,0,0.3,19.3,
2,2019-01-01 00:48:39,2019-01-01 01:01:43,6,2.40,1,N,233,263,1,11,0.5,0.5,2,0,0.3,14.3,
1,2019-01-01 00:11:28,2019-01-01 00:39:33,2,4.20,1,N,239,79,1,20,0.5,0.5,21.09,0,0.3,42.39,
1,2019-01-01 00:41:23,2019-01-01 00:47:51,1,1.00,1,N,79,148,1,6,0.5,0.5,1,0,0.3,8.3,
1,2019-01-01 00:50:13,2019-01-01 01:12:04,1,3.40,1,N,264,233,2,18,0.5,0.5,0,0,0.3,19.3,
1,2019-01-01 00:20:27,2019-01-01 00:46:33,4,7.80,1,N,237,80,2,26,0.5,0.5,0,0,0.3,27.3,
1,2019-01-01 00:21:43,2019-01-01 00:23:36,1,.30,1,N,263,263,2,3.5,0.5,0.5,0,0,0.3,4.8,
1,2019-01-01 00:25:14,2019-01-01 00:46:28,1,3.20,1,N,263,48,1,15.5,0.5,0.5,3.35,0,0.3,20.15,
