VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone,trip_duration_minutes,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_dayofweek,pickup_is_weekend,avg_speed_mph,cost_per_mile,tip_percentage,time_of_day,is_inter_borough,revenue_per_minute
2,2019-01-01 00:08:44,2019-01-01 00:15:12,1,1.68,1,N,141,75,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,East Harlem South,Boro Zone,6.47,2019,1,1,0,1,0,15.58,5.24,0.0,Night,0,1.36
2,2019-01-01 00:21:02,2019-01-01 00:26:31,1,0.73,1,N,263,236,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,Manhattan,Yorkville West,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone,5.48,2019,1,1,0,1,0,7.99,9.32,0.0,Night,0,1.24
2,2019-01-01 00:29:58,2019-01-01 00:33:39,1,0.78,1,N,236,263,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Yorkville West,Yellow Zone,3.68,2019,1,1,0,1,0,12.72,9.69,25.2,Night,0,2.05
2,2019-01-01 00:42:07,2019-01-01 00:57:51,1,6.33,1,N,263,244,1,19.5,0.5,0.5,4.0,0.0,0.3,24.8,,Manhattan,Yorkville West,Yellow Zone,Manhattan,Washington Heights South,Boro Zone,15.73,2019,1,1,0,1,0,24.14,3.92,20.51,Night,0,1.58
2,2019-01-01 01:00:57,2019-01-01 01:07:52,1,1.25,1,N,244,243,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,Manhattan,Washington Heights South,Boro Zone,Manhattan,Washington Heights North,Boro Zone,6.92,2019,1,1,1,1,0,10.84,6.64,0.0,Night,0,1.2
2,2019-01-01 00:04:03,2019-01-01 00:27:24,1,3.83,1,N,144,50,1,17.0,0.5,0.5,2.0,0.0,0.3,20.3,,Manhattan,Little Italy/NoLiTa,Yellow Zone,Manhattan,Clinton West,Yellow Zone,23.35,2019,1,1,0,1,0,9.84,5.3,11.76,Night,0,0.87
2,2019-01-01 00:30:35,2019-01-01 00:43:22,1,1.88,1,N,143,238,1,10.0,0.5,0.5,3.39,0.0,0.3,14.69,,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone,12.78,2019,1,1,0,1,0,8.83,7.81,33.9,Night,0,1.15
2,2019-01-01 00:46:24,2019-01-01 00:50:30,1,0.81,1,N,238,151,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Manhattan Valley,Yellow Zone,4.1,2019,1,1,0,1,0,11.85,9.01,20.0,Night,0,1.78
2,2019-01-01 00:55:05,2019-01-01 00:58:02,1,0.6,1,N,151,151,1,4.0,0.5,0.5,0.8,0.0,0.3,6.1,,Manhattan,Manhattan Valley,Yellow Zone,Manhattan,Manhattan Valley,Yellow Zone,2.95,2019,1,1,0,1,0,12.2,10.17,20.0,Night,0,2.07
2,2019-01-01 01:01:04,2019-01-01 01:06:10,1,1.43,1,N,238,166,1,6.5,0.5,0.5,2.34,0.0,0.3,10.14,,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Morningside Heights,Boro Zone,5.1,2019,1,1,1,1,0,16.82,7.09,36.0,Night,0,1.99
1,2019-01-01 00:24:21,2019-01-01 00:52:54,1,20.9,1,N,132,66,1,55.5,0.5,0.5,11.35,0.0,0.3,68.15,,Queens,JFK Airport,Airports,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,28.55,2019,1,1,0,1,0,43.92,3.26,20.45,Night,1,2.39
1,2019-01-01 00:54:27,2019-01-01 01:06:07,2,1.8,1,N,66,25,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,Brooklyn,Boerum Hill,Boro Zone,11.67,2019,1,1,0,1,0,9.25,6.0,0.0,Night,0,0.93
2,2019-01-01 00:24:22,2019-01-01 00:50:58,1,2.93,1,N,249,229,1,17.5,0.5,0.5,3.76,0.0,0.3,22.56,,Manhattan,West Village,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,26.6,2019,1,1,0,1,0,6.61,7.7,21.49,Night,0,0.85
